x,DENV1,DENV2
1/1/04,0,100
2/1/04,0,100
3/1/04,0,100
4/1/04,0,100
5/1/04,39.568,60.432
6/1/04,54.142,45.858
7/1/04,54.073,45.927
8/1/04,74.226,20.603
9/1/04,69.909,30.091
10/1/04,47.968,34.867
11/1/04,95.318,0.127
12/1/04,77.308,9.128
1/1/05,91.502,0.063
2/1/05,52.001,26.182
3/1/05,57.447,30.239
4/1/05,63.02,7.036
5/1/05,52.109,22.252
6/1/05,59.647,18.955
7/1/05,64.776,12.996
8/1/05,75.293,7.354
9/1/05,74.083,7.48
10/1/05,74.837,4.755
11/1/05,57.398,7.163
12/1/05,74.635,9.192
1/1/06,75.707,0.063
2/1/06,81.533,0.127
3/1/06,92.557,0.191
4/1/06,74.04,24.914
5/1/06,94.701,0
6/1/06,83.727,9.319
7/1/06,80.932,3.613
8/1/06,95.379,0.444
9/1/06,85.611,0.063
10/1/06,32.543,44.376
11/1/06,99.355,0.645
12/1/06,36.969,49.511
1/1/07,23.396,56.485
2/1/07,10.267,78.229
3/1/07,19.136,68.466
4/1/07,20.715,65.169
5/1/07,3.783,86.026
6/1/07,5.108,85.772
7/1/07,5.292,91.225
8/1/07,1.102,95.218
9/1/07,0.778,96.677
10/1/07,2.801,92.619
11/1/07,13.762,81.145
12/1/07,22.505,74.362
1/1/08,16.364,81.718
2/1/08,26.754,68.918
3/1/08,41.12,50.18
4/1/08,54.436,31.43
5/1/08,35.006,52.537
6/1/08,11.113,84.63
7/1/08,20.415,78.305
8/1/08,16.777,78.375
9/1/08,19.478,73.76
10/1/08,21.316,63.132
11/1/08,21.653,60.763
12/1/08,42.208,42.736
1/1/09,44.346,41.732
2/1/09,25.854,64.194
3/1/09,7.7,75.708
4/1/09,10.626,56.147
5/1/09,2.524,39.723
6/1/09,11.564,63.787
7/1/09,24.054,32.134
8/1/09,17.227,41.395
9/1/09,0.086,40.932
10/1/09,5.562,61.282
11/1/09,19.028,67.547
12/1/09,3.649,74.183
1/1/10,15.952,65.212
2/1/10,12.576,67.737
3/1/10,15.165,66.849
4/1/10,16.177,70.421
5/1/10,13.777,60.889
6/1/10,14.077,79.823
7/1/10,33.844,61.757
8/1/10,29.981,65.644
9/1/10,5.562,89.047
10/1/10,5.187,87.484
11/1/10,2.449,85.496
12/1/10,0.011,99.962
1/1/11,17.603,59.922
2/1/11,5.938,76.455
3/1/11,13.402,80.12
4/1/11,11.527,76.986
5/1/11,9.764,77.638
6/1/11,11.864,72.774
7/1/11,2.449,86.04
8/1/11,3.687,88.087
9/1/11,5.9,84.314
10/1/11,12.539,75.052
11/1/11,32.559,55.032
12/1/11,28.566,46.478
1/1/12,45.319,45.297
2/1/12,34.284,44.777
3/1/12,26.534,73.463
4/1/12,16.137,80.717
5/1/12,22.588,77.432
6/1/12,12.12,85.277
7/1/12,17.389,78.898
8/1/12,18.287,72.778
9/1/12,4.866,81.686
10/1/12,9.757,83.742
11/1/12,20.792,65.902
12/1/12,33.835,61.082
1/1/13,21.666,61.932
2/1/13,25.825,39.248
3/1/13,56,22.849
4/1/13,49.383,30.529
5/1/13,52.644,26.725
6/1/13,65.522,24.149
7/1/13,59.898,21.314
8/1/13,74.808,18.171
9/1/13,65.569,28.261
10/1/13,78.684,15.524
11/1/13,81.637,14.863
12/1/13,85.323,10.326
1/1/14,76.604,19.163
2/1/14,81.33,15.666
3/1/14,81.637,15.525
4/1/14,88.466,9.428
5/1/14,84.993,13.114
6/1/14,87.048,11.744
7/1/14,81.425,16.965
8/1/14,77.313,20.77
9/1/14,76.841,20.699
10/1/14,70.319,26.158
11/1/14,51.132,39.886
12/1/14,57.772,34.829
1/1/15,64.223,30.836
2/1/15,56.496,36.673
3/1/15,58.103,37.358
4/1/15,55.126,38.728
5/1/15,59.686,31.758
6/1/15,53.779,30.481
7/1/15,49.526,36.105
8/1/15,36.979,41.752
9/1/15,33.151,50.093
10/1/15,31.071,50.59
11/1/15,27.433,60.868
12/1/15,27.763,62.145
1/1/16,32.3,55.788
2/1/16,22.612,59.569
3/1/16,16.422,63.467
4/1/16,18.784,55.387
5/1/16,18.784,57.963
6/1/16,27.669,47.873
7/1/16,29.961,39.626
8/1/16,35.608,38.209
9/1/16,42.343,26.89
10/1/16,33.505,44.116
11/1/16,39.389,24.102
12/1/16,41.516,33.837
1/1/17,30.812,33.057
2/1/17,20.368,35.987
3/1/17,20.439,59.072
4/1/17,20.013,46.762
5/1/17,8.223,58.954
6/1/17,15.855,62.829
7/1/17,27.409,57.561
8/1/17,12.003,66.138
9/1/17,21.62,35.278
10/1/17,20.675,30.434
11/1/17,28.945,37.83
12/1/17,31.615,22.07
1/1/18,45.864,20.439
2/1/18,15.713,33.459
3/1/18,2.457,57.064
4/1/18,0.071,51.582
5/1/18,5.86,53.094
6/1/18,24.338,35.727
7/1/18,28.071,49.385
8/1/18,39.271,45.864
9/1/18,44.257,45.415
10/1/18,16.068,62.262
11/1/18,9.712,68.098
12/1/18,15.666,63.893
1/1/19,5.222,84.12
2/1/19,12.576,67.737
3/1/19,15.165,66.849
4/1/19,16.177,70.421
5/1/19,13.777,60.889
6/1/19,14.077,79.823
7/1/19,33.844,61.757
8/1/19,29.981,65.644
9/1/19,5.562,89.047
10/1/19,5.187,87.484
11/1/19,2.449,85.496
12/1/19,0.011,99.962
