Epoch,Training Loss
0,0.170705
10,0.107378
20,0.0960864
30,0.0813289
40,0.0699345
50,0.0644001
60,0.0568769
70,0.0444445
80,0.0469198
90,0.036825
100,0.0291656
110,0.0272447
120,0.0213337
130,0.0220398
140,0.0186265
150,0.016679
160,0.0165851
170,0.0153235
180,0.0108083
190,0.0113539
200,0.0112818
210,0.0102631
220,0.00996777
230,0.00835335
240,0.00903316
250,0.00796959
260,0.00820226
270,0.00803655
280,0.00826625
290,0.00753225
300,0.00719062
310,0.00730831
320,0.00678748
330,0.0069099
340,0.0067647
350,0.00610541
360,0.00709244
370,0.00631607
380,0.00712904
390,0.00678813
400,0.00652172
410,0.00714031
420,0.00693318
430,0.00631128
440,0.00565611
450,0.00617637
460,0.00636633
470,0.00603596
480,0.0060293
490,0.00689409
500,0.00661986
510,0.00570675
520,0.00611556
530,0.00571021
540,0.00528428
550,0.00616068
560,0.00577849
570,0.00628942
580,0.00613215
590,0.0062875
600,0.0057041
610,0.00667878
620,0.00540582
630,0.00576551
